battery_id,chemistry,nominal_voltage_V,rated_capacity_Ah,state_of_charge_percent,state_of_health_percent,temperature_C,internal_resistance_mOhm,cycle_count,age_years,cell_voltage_imbalance_mV,max_temperature_last_24h_C,estimated_available_energy_kWh,station_status
BAT-001,LFP,48,40,73.2,81.4,30.4,50.3,1080,0.78,56.9,36.6,1.144,AVAILABLE
BAT-002,LFP,48,40,62.0,88.9,26.8,52.2,231,1.47,23.1,28.6,1.059,AVAILABLE
BAT-003,LFP,48,40,77.5,69.0,21.4,68.7,1317,3.82,67.6,26.5,1.027,AVAILABLE
BAT-004,LFP,48,40,85.6,82.8,35.3,64.7,442,4.26,42.5,42.1,1.362,AVAILABLE
BAT-005,LFP,48,40,58.8,80.0,23.1,55.0,1078,0.94,50.4,25.9,0.903,AVAILABLE
BAT-006,LFP,48,40,81.4,75.8,29.3,57.1,673,3.58,75.0,33.5,1.185,AVAILABLE
BAT-007,LFP,48,40,49.0,95.0,38.1,33.6,177,1.76,12.0,38.7,0.895,AVAILABLE
BAT-008,LFP,48,40,99.0,72.0,49.0,84.0,1551,1.08,91.0,43.2,0.694,REVIEW/QUARANTINE
BAT-009,LFP,48,40,83.0,78.7,33.0,62.8,874,0.67,60.4,34.2,1.255,AVAILABLE
BAT-010,LFP,48,40,67.7,96.0,23.5,45.5,293,0.67,19.3,30.1,1.247,AVAILABLE
BAT-011,LFP,48,40,55.9,71.6,30.9,64.5,1590,2.42,55.9,35.3,0.768,AVAILABLE
BAT-012,LFP,48,40,79.0,76.3,31.9,73.0,1377,0.76,49.7,34.5,1.158,AVAILABLE
BAT-013,LFP,48,40,86.2,92.4,27.6,39.2,67,3.11,36.3,30.5,1.529,AVAILABLE
BAT-014,LFP,48,40,73.0,86.7,38.2,53.0,294,4.16,23.3,38.8,1.216,AVAILABLE
BAT-015,LFP,48,40,100.0,90.4,32.7,46.8,197,2.23,45.4,33.1,1.735,AVAILABLE
BAT-016,LFP,48,40,58.4,84.1,33.1,61.5,567,3.17,57.7,34.2,0.943,AVAILABLE
BAT-017,LFP,48,40,59.1,76.4,31.0,59.4,667,4.21,55.2,31.9,0.866,AVAILABLE
BAT-018,LFP,48,40,90.4,72.1,24.7,68.0,1097,4.16,65.7,31.8,1.251,AVAILABLE
BAT-019,LFP,48,40,52.1,72.7,26.9,67.8,1184,1.7,65.4,31.1,0.727,AVAILABLE
BAT-020,LFP,48,40,86.3,71.7,26.7,70.1,1001,2.92,59.7,29.1,1.188,AVAILABLE
BAT-021,LFP,48,40,40.0,86.4,37.6,53.6,729,2.48,39.6,39.9,0.663,AVAILABLE
